instrument_key,exchange_token,tradingsymbol,name,last_price,,,tick_size,lot_size,instrument_type,,exchange
NSE_EQ|INF247L01FK3,757099,MOMGF,MOTILALAMC - MOMGF,143.33,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220147,10852,761TN32,SDL TN 7.61% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE557F08FU2,22797,783NHB27,NHB 7.83% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE919I04010,15082,RADIOCITY,MUSIC BROADCAST LIMITED,113.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE557F08FT4,21394,757NHB31,NHB 7.57% 2031,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN9628A01026,30271,UPLPP1,UPL RE. 1 PPD UP,434.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE365I01020,19111,NBIFIN,N.B.I. IND. FIN. CO. LTD,2855.5,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE071E01023,19578,UGARSUGAR,THE UGAR SUGAR WORKS LTD,49.37,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE209B01025,2909,RICOAUTO,RICO AUTO INDUSTRIES LTD,77.95,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF247L01FD8,757167,MONEXT50,MOTILALAMC - MONEXT50,67.36,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE557F08FY4,23913,759NHB27,NHB 7.59% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE557F08FX6,23626,751NHB31,NHB 7.51% 2031,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE959A01019,8825,PRIVISCL,PRIVI SPECIALITY CHE LTD,2418.3,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE289C01025,10717,TIMESGTY,TIMES GUARANTY LIMITED,179.39,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE557F08FV0,23063,778NHB27,NHB 7.78% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF247L01FC0,756900,MON50EQUAL,MOTILALAMC - MON50EQUAL,31.71,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE373A01013,368,BASF,BASF INDIA LTD,5045.5,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|IN3620220019,11510,785UK32,SDL UK 7.85% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE077F01035,3963,GOCLCORP,GOCL CORPORATION LIMITED,383.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0SVY01018,24528,KATARIA,KATARIA INDUSTRIES LTD,106.95,,,0.05,600,EQUITY,,NSE_EQ
NSE_EQ|INE715Y01031,708,SHRADHA,SHRADHA INFRAPROJECTS LTD,73.95,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3620220027,13716,762UK33,SDL UK 7.62% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3620220035,14102,767UK33,SDL UK 7.67% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE246B01019,7869,RAMCOSYS,RAMCO SYSTEMS LTD,386.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE674K01013,21614,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,269.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INF247L01EV3,30065,MOCAPITAL,MOTILALAMC - MOCAPITAL,44.97,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1320250013,757627,688BR35,SDL BR 6.88% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE745B01028,902,KHAICHEM,KHAITAN CHEM & FERT LTD,98.58,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE094A01015,1406,HINDPETRO,HINDUSTAN PETROLEUM CORP,435.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0OMF01015,17684,SHRITECH,SHRI TECHTEX LIMITED,93.2,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE310C01029,1372,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,481.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220071,10338,787TN33,SDL TN 7.87% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE557F08GE4,756996,680NHB32,NHB 6.80% 2032,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220089,10452,764TN29,SDL TN 7.64% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE047O01014,29737,NIBL,NRB INDUS. BEARINGS LTD.,27.52,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE557F08GD6,29954,735NHB32,NHB 7.35% 2032,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220055,10190,781TN52,SDL TN 7.81% 2052,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220063,10234,765TN29,SDL TN 7.65% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE557F08GC8,29268,729NHB31,NHB 7.29% 2031,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3620220050,14376,774UK33,SDL UK 7.74% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE410P01011,11840,NH,NARAYANA HRUDAYALAYA LTD.,2007,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE157H01023,14667,KMSUGAR,K M SUGAR MILLS LTD,28.61,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3620220068,14820,776UK33,SDL UK 7.76% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220097,10460,78TN32A,SDL TN 7.8% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE410B01037,17364,VINATIORGA,VINATI ORGANICS LTD,1929,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|IN000925C031,4205,GS200925C,GOI STRIPS C 200925,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE232I01014,14788,SPARC,SUN PHARMA ADV.RES.CO.LTD,159.34,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220030,9869,794TN32,SDL TN 7.94% 2032,102,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN0020050012,6874,74GS2035,GOI LOAN 7.40% 2035,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE614G01033,15261,RPOWER,RELIANCE POWER LTD.,64.81,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE203A01020,5610,ASTRAZEN,ASTRAZENECA PHARMA IND LT,9241.5,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220048,9953,784TN52,SDL TN 7.84% 2052,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN000925C023,4202,GS150925C,GOI STRIPS C 150925,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220014,9776,78TN32,SDL TN 7.8% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN000925C015,4183,GS090925C,GOI STRIPS C 090925,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE274J01014,17438,OIL,OIL INDIA LTD,432.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220022,9834,799TN42,SDL TN 7.99% 2042,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE372A01015,11491,APARINDS,APAR INDUSTRIES LTD.,8671.5,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|INE781B01015,11214,NOIDATOLL,NOIDA TOLL BRIDGE CO LTD,4.3,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE752H01013,29113,CARERATING,CARE RATINGS LIMITED,1772.8,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INF251K01TL6,24117,BBNPNBETF,BARODABNP - BBNPNBETF,56.87,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE725E01024,19931,ORISSAMINE,ORISSA MIN DEV CO LTD,4693.9,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE113X01015,21217,ACCORD,ACCORD SYNERGY LIMITED,0,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INF740KA1QL0,7456,MIDQ50ADD,DSPAMC - DSPQ50ETF,254.1,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF740KA1QK2,6606,EQUAL50ADD,DSPAMC - DSPNEWETF,326.82,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE417C01014,11445,PILANIINVS,PILANI INV & IND COR LTD,5318,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|INE0PQ101010,24856,SSDL,SARASWATI SAREE DEPOT LTD,95.93,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE00FF01025,5578,ACUTAAS,ACUTAAS CHEMICALS LIMITED,1146.4,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INF740KA1RE3,10761,SILVERADD,DSPAMC - DSPSILVETF,107.47,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE138C01024,1835,KANORICHEM,KANORIA CHEMICALS & INDUS,92.56,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN000825C017,4178,GS100825C,GOI STRIPS C 100825,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE885H01029,10733,SPORTKING,SPORTKING INDIA LIMITED,115.33,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0R8C01018,24439,GGBL,GANESH GREEN BHARAT LTD,536.9,,,0.05,300,EQUITY,,NSE_EQ
NSE_EQ|IN000825C025,4180,GS220825C,GOI STRIPS C 220825,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INF247L01FQ0,757817,MOMIDMTM,MOTILALAMC - MOMIDMTM,62.92,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INF247L01FP2,757443,MOTOUR,MOTILALAMC - MOTOUR,92.55,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2420210063,8576,727ML32,SDL ML 7.27% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE150G01020,11301,LUXIND,LUX INDUSTRIES LIMITED,1466,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE335A01020,3375,SURYAROSNI,SURYA ROSHNI LTD,327.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INF247L01FO5,757431,MOPSE,MOTILALAMC - MOPSE,100.25,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE688J01023,17376,EXCEL,EXCEL REALTY N INFRA LTD,0.96,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583L01014,7935,AGSTRA,AGS TRANSACT TECH LTD,6.04,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2420210022,4895,719ML41,SDL ML 7.19% 2041,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INF247L01FR8,757669,MOALPHA50,MOTILALAMC - MOALPHA50,52.16,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2420210048,5570,702ML41,SDL ML 7.02% 2041,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE02RE01045,24814,FIRSTCRY,BRAINBEES SOLUTIONS LTD,379.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE528G01035,11915,YESBANK,YES BANK LIMITED,19.66,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE248A01017,1675,ITI,ITI LTD,315.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220352,14564,767TN53,SDL TN 7.67% 2053,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2420210014,3238,682ML31,SDL ML 6.82% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220337,14357,756TN53,SDL TN 7.56% 2053,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220345,14455,757TN53,SDL TN 7.57% 2053,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE115A07RE1,30149,773LICH27,LICH 7.73% 2027 TR 453,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3520200046,835,538CG25,SDL CG 5.38% 2025,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE07RO01027,7390,SUPRIYA,SUPRIYA LIFESCIENCE LTD,687.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE068L01024,20160,CANTABIL,CANTABIL RETAIL LTD,277.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07RG6,756707,707LICH30,LICH 7.07% 2030 SR TR455,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07RF8,30277,758LICH35A,LICH 7.58% 2035 SR 454,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3520200038,423,594CG25,SDL CG 5.94% 2025,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE0LQQ01019,9861,FIDEL,FIDEL SOFTECH LIMITED,212,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE0SK801018,22527,DELAPLEX,DELAPLEX LIMITED,146.7,,,0.05,600,EQUITY,,NSE_EQ
NSE_EQ|INE115A07RH4,756852,690LICH27,LICH 6.90% SR TR 456,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220386,14860,776TN53,SDL TN 7.76% 2053,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3520200061,1209,532CG25,SDL CG 5.32% 2025,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE448G01010,11069,NATHBIOGEN,NATH BIO-GENES (I) LTD,229.67,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0TLP01015,757668,WHITEFORCE,HAPPY SQUARE OUTSOURC S L,84.85,,,0.05,1600,EQUITY,,NSE_EQ
NSE_EQ|IN3520200053,971,535CG25,SDL CG 5.35% 2025,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3520200087,1703,588CG26,SDL CG 5.88% 2026,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE0NLT01010,22568,BLSE,BLS E-SERVICES LIMITED,186.38,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3520200079,1449,593CG26,SDL CG 5.93% 2026,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE0JZA01018,9458,SONUINFRA,SONU INFRATECH LIMITED,131.6,,,0.05,1500,EQUITY,,NSE_EQ
NSE_EQ|IN3120220311,14280,753TN53,SDL TN 7.53% 2053,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3520200095,1887,597CG27,SDL CG 5.97% 2027,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220329,14349,769TN43,SDL TN 7.69% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE0SMY01017,25037,JAYBEE,JAY BEE LAMINATIONS LTD,233.6,,,0.05,500,EQUITY,,NSE_EQ
NSE_EQ|INE531F01015,18721,NUVAMA,NUVAMA WEALTH MANAGE LTD,7318,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|INE681C01015,9505,KEYFINSERV,KEYNOTE FIN SERV LTD.,264.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220303,14117,755TN53,SDL TN 7.55% 2053,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE0SUH01015,25412,ENVIRO,ENVIROTECH SYSTEMS LTD,126.55,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QW5,25047,774LIC28,LIC 7.74% 2028 TR 445,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QX3,25376,765LICH31,LICH 7.65% 2031 SR 446,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0WVU01018,27136,ONYX,ONYX BIOTEC LIMITED,49.85,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QY1,25849,757LICH29,LICH 7.57% 2029 SR 447,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QZ8,27280,774LICH27,LICH 7.74% 2027 SR 448,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230011,16638,726HP29,SDL HP 7.26% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QS3,24073,792LIC27,LHFL 7.9265% 2027 TR 442,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QT1,24472,7865LICH26,LIC 7.8650% 2026 SR 443,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QU9,24942,775LICH29,LICH 7.75% 2029 SR 444,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342G01023,17747,NIITMTS,NIIT LEARNING SYSTEMS LTD,344,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07315,11230,1050UCL25,SEC RED NCD 10.50% SR.III,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QV7,25042,761LIC34,LIC 7.61% 2034 TR 445,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE285A01027,937,ELGIEQUIP,ELGI EQUIPMENTS LTD,551.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230052,18409,742HP38,SDL HP 7.42% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE029L01018,21119,KICL,KALYANI INVEST CO LTD,5136,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230060,19519,762HP43,SDL HP 7.62% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE115A07RA9,27750,769LICH26,LICH 7.69% 2026 SR 449,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0Q3R01026,20956,SUNCLAY,SUNDARAM CLAYTON LIMITED,2015.7,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230037,17118,745HP33,SDL HP 7.45% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE115A07RB7,29200,758LICH35,LICH 7.58% 2035 SR 450,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220295,13997,765TN53,SDL TN 7.65% 2053,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INF247L01CH6,23181,MOSMALL250,MOTILALAMC - MOSMALL250,17.63,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230029,16641,729HP31,SDL HP 7.29% 2031,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1720230045,17101,75HP38,SDL HP 7.5% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE0PS301014,21058,INDIFRA,INDIFRA LIMITED,0,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE0SBP01018,24678,ESPRIT,ESPRIT STONES LIMITED,0,,,0.05,1600,EQUITY,,NSE_EQ
NSE_EQ|INE115A07RD3,29742,7645LICH30,LICH 7.645% 2030 SR 452,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07RC5,29305,766LICH29,LICH 7.66% 2029 SR 451,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE450D01021,14134,PITTIENG,PITTI ENGINEERING LIMITED,964.4,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INF247L01CI4,23184,MOREALTY,MOTILALAMC - MOREALTY,96.31,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230094,20742,761HP38,SDL HP 7.61% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE523B01011,8591,AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,8.68,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230078,20184,774HP38,SDL HP 7.74% 2038,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE321N07277,14045,965IFSL26,SEC RE NCD 9.65% SR.III,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE03V001013,17661,UNIVPHOTO,UNIVERSUS IMAGINGS LTD,281.82,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230086,20738,765HP35,SDL HP 7.65% 2035,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE705C01020,804,SHIVATEX,SHIVA TEXYARN LIMITED,207.76,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE321N07293,14049,10IFSL26,SEC RE NCD 10% SR.IV,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3520200103,2013,61CG27,SDL CG 6.1% 2027,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE0PLQ01011,19809,MAITREYA,MAITREYA MEDICARE LIMITED,272.7,,,0.05,400,EQUITY,,NSE_EQ
NSE_EQ|IN3120220238,13379,761TN32A,SDL TN 7.61% 2032,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE529I01021,13870,KUANTUM,KUANTUM PAPERS LIMITED,125.39,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0CHO01012,248,ADL,ARCHIDPLY DECOR LIMITED,91.44,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0DZ101013,10985,SABAR,SABAR FLEX INDIA LIMITED,0,,,0.05,5000,EQUITY,,NSE_EQ
NSE_EQ|IN3120220246,13393,769TN37,SDL TN 7.69% 2037,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3520200129,2740,706CG29,SDL CG 7.06% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1220240015,23494,75AS34,SDL AS 7.5% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220212,12345,763TN47,SDL TN 7.63% 2047,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3520200111,2380,708CG29,SDL CG 7.08% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1220240023,23631,754AS34,SDL AS 7.54% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE639X01027,23922,BEACON,BEACON TRUSTEESHIP LTD,60.1,,,0.05,1000,EQUITY,,NSE_EQ
NSE_EQ|INE819L01012,24928,ELGIRUBCO,ELGI RUBBER CO. LTD,62.15,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1220240031,23871,737AS34,SDL AS 7.37% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220279,13874,765TN33,SDL TN 7.65% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INF846K011K1,11193,AXISILVER,AXISAMC - AXISILVER,110.7,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3520200137,2907,694CG29,SDL CG 6.94% 2029,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1220240049,24567,735AS39,SDL AS 7.35% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE858B01029,3329,ISGEC,ISGEC HEAVY ENG LTD,1179.6,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE669A01022,13694,INFOMEDIA,INFOMEDIA PRESS LIMITED,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN3120220287,13908,762TN43,SDL TN 7.62% 2043,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1220240056,24765,73AS39,SDL AS 7.3% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220253,13602,762TN33,SDL TN 7.62% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1220240064,24988,726AS39,SDL AS 7.26% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN3120220261,13715,757TN33,SDL TN 7.57% 2033,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QO2,22971,7835LIC27,LH 7.8350% 2027 TR 438,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QP9,23248,773LIC34,LHFL 7.73% 2034 TR 439,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QQ7,23751,787LIC29,LHFL 7.87% 2029 TR 440,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE00M901018,24911,INTERARCH,INTERARCH BLDNG SOLTN LTD,2206.5,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QR5,23907,768LIC34,LHFL 7.68% 2034 TR 441,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE803H01014,13821,RUCHIRA,RUCHIRA PAPERS LIMITED,139.57,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE093I01010,20242,OBEROIRLTY,OBEROI REALTY LIMITED,1835.5,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE0XM301010,757813,MMEL,MOVING MEDIA ENTER LTD,73.85,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|IN3120220204,11877,78TN42,SDL TN 7.8% 2042,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE0IJY01014,7806,TIMESCAN,TIMESCAN LOGISTICS IND L,0,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE115A07QN4,22633,769LIC34,LHFL 7.69% 2034 TR 437,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0RPM01017,24507,SATIPOLY,SATI POLY PLAST LIMITED,0,,,0.05,500,EQUITY,,NSE_EQ
NSE_EQ|IN1720230102,21509,767HP34,SDL HP 7.67% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE296G01013,10415,MUTHOOTCAP,MUTHOOT CAP SERV LTD,345,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE391J01032,7287,JTLIND,JTL INDUSTRIES LIMITED,84.88,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE018401013,2998,SUVIDHAA,SUVIDHAA INFOSERVE LTD,4.02,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE957N08110,21233,9HFL34,HFL 9% 2034 SR 61,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE593W01028,6839,FOCUS,FOCUS LIGHTG & FIXTRS LTD,105.21,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230136,23090,741HP36,SDL HP 7.41% 2036,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE583D07414,22835,1025UCL25,SEC RE NCD 10.25% SR I,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN2120190086,21972,718MP30,SDL MP 7.18% 2030,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE616N01034,20607,INOXINDIA,INOX INDIA LIMITED,1232.5,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|IN1720230128,23081,739HP34,SDL HP 7.39% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN1720230144,23355,752HP39,SDL HP 7.52% 2039,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN2120190078,21977,721MP34,SDL MP 7.21% 2034,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|INE742C01031,13875,JINDRILL,JINDAL DRILLING IND. LTD,613.4,,,0.05,1,EQUITY,,NSE_EQ
